OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3106,2021-082AL,2026-04-23T05:37:23.163168,14.98323685,.00031227,70.0005,162.1401,266.6844,93.3958,0,U,49164,999,25430,.3225434E-5,-.55E-6,0
STARLINK-3052,2021-082AM,2026-04-23T06:25:46.006176,14.98331470,.00034272,69.9998,182.0718,269.0301,91.0465,0,U,49165,999,25385,.76242793E-4,.817E-5,0
STARLINK-3089,2021-082AN,2026-04-23T03:06:07.908480,14.97510976,.00038938,69.9985,163.3359,270.1088,89.9624,0,U,49166,999,25430,.16020993E-3,.178E-4,0
STARLINK-3054,2021-082AP,2026-04-23T04:37:37.090560,14.98329001,.00032809,69.9999,182.2401,269.7419,90.3364,0,U,49167,999,25384,.6523911E-5,-.15E-6,0
STARLINK-3046,2021-082AR,2026-04-22T11:53:53.187072,14.98327121,.0003979,69.9997,164.0127,276.4513,83.6193,0,U,49169,999,25303,.21092E-5,-.68E-6,0
STARLINK-3107,2021-082AT,2026-04-22T12:36:39.632544,15.12515265,.00057571,69.9918,175.1004,231.5557,128.5093,0,U,49171,999,25392,.55236301E-3,.9551E-4,0
STARLINK-3045,2021-082AV,2026-04-23T02:01:04.006560,14.98329035,.00034193,69.9997,162.5143,268.9172,91.1595,0,U,49173,999,25312,.32624E-4,.296E-5,0
STARLINK-3087,2021-082AX,2026-04-23T05:25:26.871744,14.97520628,.00035907,69.9996,163.2281,269.5959,90.4788,0,U,49175,999,25311,.30142854E-4,.26E-5,0
STARLINK-3069,2021-082AY,2026-04-23T02:24:46.514304,14.98326632,.00033407,69.9986,142.4780,269.7252,90.3524,0,U,49176,999,25361,.34655183E-4,.32E-5,0
STARLINK-3103,2021-082AZ,2026-04-23T02:54:47.778048,14.98341725,.0003111,70.0018,142.4345,265.0411,95.0393,0,U,49177,999,25481,.12671532E-4,.58E-6,0
